Identifier: KEWR04RL_arrival_corridor
Segment: 1
Surface: w1
716.794058 -2514.625952 0.049374

Segment: 3
Surface: w1
716.211574 -2514.596750 0.049374
716.334913 -2515.029789 0.230410
716.917497 -2515.058997 0.230410
716.794058 -2514.625952 0.049374

Surface: w2
716.250312 -2514.532855 0.049374
716.373658 -2514.965883 0.230410
717.144601 -2514.823435 0.230410
717.021122 -2514.390431 0.049374

Surface: s1
716.250312 -2514.532855 0.049374
716.373658 -2514.965883 0.230410
716.334913 -2515.029789 0.230410
716.211574 -2514.596750 0.049374

Surface: s2
716.794058 -2514.625952 0.049374
716.917497 -2515.058997 0.230410
717.144601 -2514.823435 0.230410
717.021122 -2514.390431 0.049374

Surface: u
716.334913 -2515.029789 0.230410
716.373658 -2514.965883 0.230410
717.144601 -2514.823435 0.230410
716.917497 -2515.058997 0.230410

Surface: l
716.250312 -2514.532855 0.049374
716.211574 -2514.596750 0.049374
716.794058 -2514.625952 0.049374
717.021122 -2514.390431 0.049374

Segment: 4
Surface: w1
716.250312 -2514.532855 0.049374
716.373658 -2514.965883 0.230410
717.144601 -2514.823435 0.230410
717.021122 -2514.390431 0.049374

Surface: w2
716.573792 -2513.919797 0.082289
716.719625 -2514.431417 0.296242
717.304095 -2514.500731 0.296242
717.158143 -2513.989097 0.082289

Surface: s1
716.573792 -2513.919797 0.082289
716.719625 -2514.431417 0.296242
716.373658 -2514.965883 0.230410
716.250312 -2514.532855 0.049374

Surface: s2
717.021122 -2514.390431 0.049374
717.144601 -2514.823435 0.230410
717.304095 -2514.500731 0.296242
717.158143 -2513.989097 0.082289

Surface: u
716.373658 -2514.965883 0.230410
716.719625 -2514.431417 0.296242
717.304095 -2514.500731 0.296242
717.144601 -2514.823435 0.230410

Surface: l
716.573792 -2513.919797 0.082289
716.250312 -2514.532855 0.049374
717.021122 -2514.390431 0.049374
717.158143 -2513.989097 0.082289

Segment: 5
Surface: w1
716.573792 -2513.919797 0.082289
716.719625 -2514.431417 0.296242
717.304095 -2514.500731 0.296242
717.158143 -2513.989097 0.082289

Surface: w2
716.374873 -2512.589809 0.164579
716.543082 -2513.179780 0.411447
716.826218 -2513.058310 0.411447
716.657943 -2512.468368 0.164579

Surface: s1
